hobby,job
"Дизайн, визуализация ",Дизайнер 
Кайфую от 3Д печати,Ведущий инженер АСУТП
3Д печать и моделирование,Разработчик CV
Компьютерные игры,Предприниматели
Конструирование,Владелец небольшого производства
"Ремонт, обслуживание и наладка техники",Старший специалист Центра прототипирования
3д печать,Инженер 
Рисование,Тюнинг мото техники 
Печать для всех нас немного хобби,Студент
Изготовление деталей и механизмов,Программист сетевых решений
В данный момент 3d печать,Художник
Симрейсинг,Хирург
Ремонт принтеров,Руководитель 
3д,Специалист по 3D-печати
автотюнинг,Инженер-конструктор
Покупать гаражи ,Энергетик
Нету хобби ,3дэшник
Моделизм,робототехник
Автоспорт,Продавец гаражей 
"Зд печать, микроконтроллеры, игры",IT-инженер 
Путешествия ,Экономист
Оружие,3д дизайнер
,Программист
,Руководитель проектов 
,Зам.генерального директора
,Электронщик